"TimeCreated","User","ServerName","IPAddress","Action"
"30.08.2022 03:03:23","NEWACCESS\aymen.fray","vmcsenv","192.168.0.4","logon"
"30.08.2022 05:05:42","NEWACCESS\aymen.fray","vmcsenv","192.168.0.4","disconnected"
"30.08.2022 08:51:55","NEWACCESS\saber.rebai","vmcsenv","192.168.0.4","logon"
"30.08.2022 09:38:14","NEWACCESS\rafik.missaoui","vmcsenv","192.168.0.4","logon"
"30.08.2022 10:10:00","NEWACCESS\rafik.missaoui","vmcsenv","192.168.0.4","disconnected"
"30.08.2022 10:11:11","NEWACCESS\saber.rebai","vmcsenv","192.168.0.4","disconnected"
"30.08.2022 11:10:18","NEWACCESS\aymen.fray","vmcsenv","192.168.0.4","reconnection"
"30.08.2022 14:39:29","NEWACCESS\aymen.fray","vmcsenv","192.168.0.4","disconnected"
"30.08.2022 16:07:32","NEWACCESS\saber.rebai","vmcsenv","192.168.0.4","reconnection"
"30.08.2022 16:20:46","NEWACCESS\rafik.missaoui","vmcsenv","192.168.0.4","reconnection"
"30.08.2022 16:26:46","NEWACCESS\rafik.missaoui","vmcsenv","192.168.0.4","disconnected"
"30.08.2022 17:43:53","NEWACCESS\saber.rebai","vmcsenv","192.168.0.4","disconnected"
"31.08.2022 08:58:33","VMCSENV\admin","vmcsenv","192.168.0.4","reconnection"
